id	name	image
152	Marie Laurencin	(1883-1956)
153	Maurice de Vlaminck	(1876-1958)
154	Maurice Utrillo	(1883-1955)
155	Nicolas Poussin	(1594-1665)
156	Odilon Redon	(1840-1916)
157	Paul Cézanne	(1839-1906)
158	Paul Claudel	(1868 - 1955)
159	Paul Gauguin	(1848-1903)
160	Paul Signac	(1863-1935)
161	Pierre Bonnard	(1867-1947)
162	Pierre-Auguste Renoir	(1841-1919)
163	Raoul Dufy	(1877-1953)
164	René Magritte	(1898-1967)
165	Robert Delaunay	(1885-1941)
166	Rosa Bonheur	(1822-1899)
167	Théodore Géricault	(1791-1824)
168	Toulouse Lautrec	(1887 - 1966)
169	William-Adolphe Bouguereau	(1825-1905)
172	Antonio Berni Delesio	 (1905-1981)
173	Benito Quinquela Martín	(1890-1977)
174	Enio Iommi	(1926-2013)
175	Ernesto de la Cárcova y Arrotea	(1866-1927)
176	Florencio de los Ángeles Molina Campos	(1891-1959)
177	Francisco Tito Yupanqui	(1550-1616)
178	Gaspar Miguel de Berrío	(1706-1762)
179	Juan Carlos Castagnino	(1908-1972)
180	Lucio Fontana	(1899-1968)
181	Marta Colvin Andrade	(1907-1995)
182	Melchor Pérez de Holguin	(1907-1995)
183	Nicolás García Uriburu	(1937-2016)
186	Raúl Soldi	(1905-1994)
187	Roberto Aizenberg	(1928-1996)
188	Rogelio Polesello	(1939-2014)
189	Samuel Román Rojas	 (1907-1990)
190	Stephen Koek Koek	(1887-1934)
191	Xul Solar	(1887-1963)
192	Emilio Pettoruti	(1892-1971)
